epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2681.66,1.32731,1.18701,1.33382,0.28492,0.04762,0.06948,0.02439,2.81443,3.67093,2.71583,0.000495125,0.000495125,0.000495125
63,2724.12,1.22098,1.08763,1.28846,0.14338,0.05952,0.07314,0.02881,2.83837,3.72706,2.80725,0.00048275,0.00048275,0.00048275
64,2768.08,1.20884,1.06167,1.23512,0.14338,0.05952,0.07314,0.02881,2.83837,3.72706,2.80725,0.000470375,0.000470375,0.000470375
65,2809.87,1.37295,1.04994,1.25517,0.12022,0.05396,0.06986,0.02843,2.86059,3.77146,2.82584,0.000458,0.000458,0.000458
66,2861.55,1.31671,1.2091,1.32182,0.12022,0.05396,0.06986,0.02843,2.86059,3.77146,2.82584,0.000445625,0.000445625,0.000445625
67,2903.73,1.22533,1.02075,1.21768,0.12485,0.05952,0.06652,0.02804,2.77113,3.88969,2.68472,0.00043325,0.00043325,0.00043325
68,2946.53,1.19708,1.06069,1.20767,0.12485,0.05952,0.06652,0.02804,2.77113,3.88969,2.68472,0.000420875,0.000420875,0.000420875
69,2988.5,1.2713,1.09883,1.34093,0.12874,0.04762,0.06022,0.02513,2.709,4.02976,2.63917,0.0004085,0.0004085,0.0004085
70,3032.04,1.13478,0.99902,1.2191,0.12874,0.04762,0.06022,0.02513,2.709,4.02976,2.63917,0.000396125,0.000396125,0.000396125
71,3074.05,1.24623,1.01423,1.224,0.1564,0.04762,0.05898,0.02355,2.69816,4.1339,2.61815,0.00038375,0.00038375,0.00038375
72,3115.85,1.23807,1,1.26161,0.1564,0.04762,0.05898,0.02355,2.69816,4.1339,2.61815,0.000371375,0.000371375,0.000371375
73,3158.22,1.20229,1.02216,1.31276,0.66667,0.03546,0.06047,0.02341,2.74543,4.16884,2.62903,0.000359,0.000359,0.000359
74,3199.96,1.17512,1.04326,1.26599,0.66667,0.03546,0.06047,0.02341,2.74543,4.16884,2.62903,0.000346625,0.000346625,0.000346625
75,3242.58,1.19923,1.0242,1.23432,0.55841,0.03571,0.06049,0.02557,2.81501,4.09158,2.70769,0.00033425,0.00033425,0.00033425
76,3285.42,1.18549,0.91812,1.21011,0.55841,0.03571,0.06049,0.02557,2.81501,4.09158,2.70769,0.000321875,0.000321875,0.000321875
77,3327.61,1.23568,0.96461,1.25711,0.44831,0.03571,0.05958,0.02662,2.85029,4.01899,2.83712,0.0003095,0.0003095,0.0003095
78,3369.75,1.19696,0.97884,1.21587,0.44831,0.03571,0.05958,0.02662,2.85029,4.01899,2.83712,0.000297125,0.000297125,0.000297125
79,3413.57,1.1163,0.86225,1.23481,0.45484,0.08333,0.05791,0.02571,2.86286,3.90833,2.8781,0.00028475,0.00028475,0.00028475
80,3457.93,1.1703,0.86734,1.2335,0.45484,0.08333,0.05791,0.02571,2.86286,3.90833,2.8781,0.000272375,0.000272375,0.000272375
81,3501.49,1.1338,0.8586,1.2272,0.45131,0.07143,0.06106,0.02649,2.88314,3.87096,2.90518,0.00026,0.00026,0.00026
82,3545.37,1.0878,0.87612,1.19249,0.45131,0.07143,0.06106,0.02649,2.88314,3.87096,2.90518,0.000247625,0.000247625,0.000247625
83,3589.42,1.11347,0.90319,1.215,0.41682,0.04774,0.06236,0.02388,2.91655,3.93188,2.89023,0.00023525,0.00023525,0.00023525
84,3633.95,1.15499,0.8915,1.20739,0.41682,0.04774,0.06236,0.02388,2.91655,3.93188,2.89023,0.000222875,0.000222875,0.000222875
85,3676.89,1.15954,0.89037,1.19034,0.1271,0.04762,0.05989,0.02361,2.93094,4.05415,2.84999,0.0002105,0.0002105,0.0002105
86,3732.58,1.04695,0.83024,1.18523,0.1271,0.04762,0.05989,0.02361,2.93094,4.05415,2.84999,0.000198125,0.000198125,0.000198125
87,3778.05,1.05321,0.8718,1.19549,0.13396,0.03571,0.0555,0.02184,2.90231,4.1914,2.80516,0.00018575,0.00018575,0.00018575
88,3822.71,1.10749,0.8654,1.15875,0.13396,0.03571,0.0555,0.02184,2.90231,4.1914,2.80516,0.000173375,0.000173375,0.000173375
89,3866.73,1.00052,0.77535,1.1269,0.18731,0.03118,0.05581,0.02249,2.92074,4.30775,2.79013,0.000161,0.000161,0.000161
90,3910.45,1.06182,0.78518,1.12847,0.18731,0.03118,0.05581,0.02249,2.92074,4.30775,2.79013,0.000148625,0.000148625,0.000148625
91,3957.16,1.06543,0.81655,1.23122,0.17114,0.02541,0.05557,0.02476,2.88775,4.3515,2.74804,0.00013625,0.00013625,0.00013625
92,4001.55,0.97363,0.79293,1.23582,0.17114,0.02541,0.05557,0.02476,2.88775,4.3515,2.74804,0.000123875,0.000123875,0.000123875
93,4045.44,1.0206,0.82434,1.19726,0.16715,0.02381,0.05151,0.02397,2.81956,4.39465,2.68759,0.0001115,0.0001115,0.0001115
94,4091.03,1.01148,0.75007,1.15457,0.16715,0.02381,0.05151,0.02397,2.81956,4.39465,2.68759,9.9125e-05,9.9125e-05,9.9125e-05
95,4135.97,0.87013,0.6933,1.07011,0.17536,0.02381,0.05087,0.02372,2.8072,4.37201,2.68603,8.675e-05,8.675e-05,8.675e-05
96,4180.68,1.09037,0.86965,1.16011,0.17536,0.02381,0.05087,0.02372,2.8072,4.37201,2.68603,7.4375e-05,7.4375e-05,7.4375e-05
97,4224.97,0.97343,0.76975,1.17752,0.1711,0.02381,0.04945,0.02187,2.80125,4.36093,2.66572,6.2e-05,6.2e-05,6.2e-05
98,4269.48,1.05217,0.77423,1.12789,0.1711,0.02381,0.04945,0.02187,2.80125,4.36093,2.66572,4.9625e-05,4.9625e-05,4.9625e-05
99,4314.11,0.9779,0.74489,1.1188,0.15761,0.02381,0.04745,0.02105,2.81698,4.34629,2.69501,3.725e-05,3.725e-05,3.725e-05
100,4357.91,0.88569,0.71998,1.09459,0.15761,0.02381,0.04745,0.02105,2.81698,4.34629,2.69501,2.4875e-05,2.4875e-05,2.4875e-05
