epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,12891.2,0.06311,0.09466,0.5231,0.63393,0.98945,0.97602,0.99208,0.73779,0.98848,0.97392,0.99122,0.61607,0.0603,0.08778,0.48398,0.6537,0.0002278,0.0002278,0.0002278
80,13067.2,0.06165,0.09282,0.51116,0.6323,0.9904,0.97626,0.99242,0.73724,0.98761,0.97162,0.99069,0.61792,0.06066,0.08742,0.48727,0.65295,0.0002179,0.0002179,0.0002179
81,13213.6,0.06157,0.09323,0.51925,0.62767,0.98572,0.97932,0.99277,0.74188,0.98082,0.97446,0.99112,0.61397,0.05903,0.08792,0.4841,0.64585,0.000208,0.000208,0.000208
82,13361.6,0.06267,0.09369,0.52608,0.62969,0.98353,0.97919,0.99277,0.74364,0.97972,0.9754,0.99124,0.61988,0.05934,0.08754,0.48607,0.64645,0.0001981,0.0001981,0.0001981
83,13506.9,0.06285,0.09397,0.52266,0.63601,0.98867,0.98013,0.99285,0.74859,0.98569,0.97717,0.99173,0.62535,0.05892,0.08738,0.48625,0.64647,0.0001882,0.0001882,0.0001882
84,13654.5,0.06268,0.09505,0.5236,0.63095,0.98499,0.97729,0.99243,0.74556,0.98227,0.97635,0.99154,0.62882,0.05963,0.08763,0.48299,0.64579,0.0001783,0.0001783,0.0001783
85,13803.9,0.06279,0.09281,0.51943,0.63306,0.98731,0.97729,0.99235,0.74813,0.9854,0.9754,0.99138,0.62342,0.05887,0.08699,0.47829,0.64498,0.0001684,0.0001684,0.0001684
86,13951.9,0.06326,0.09495,0.51948,0.6294,0.98926,0.97919,0.99248,0.74176,0.98648,0.97635,0.99146,0.61749,0.05949,0.08691,0.47684,0.64949,0.0001585,0.0001585,0.0001585
87,14101.1,0.06386,0.09451,0.52294,0.62928,0.98948,0.97867,0.99277,0.74535,0.98565,0.97469,0.99166,0.62735,0.05879,0.08652,0.4743,0.64539,0.0001486,0.0001486,0.0001486
88,14246.3,0.06172,0.0929,0.51252,0.63324,0.98669,0.98013,0.99296,0.74848,0.98329,0.97635,0.99202,0.62985,0.05857,0.08682,0.47343,0.6437,0.0001387,0.0001387,0.0001387
