epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,36260.8,0.0516,0.09942,0.45608,0.69613,0.95379,0.98283,0.98897,0.84582,0.95379,0.98283,0.98897,0.77349,0.04542,0.08632,0.35147,0.65111,0.0005743,0.0005743,0.0005743
45,37373,0.05093,0.09786,0.4493,0.69463,0.9536,0.97859,0.98968,0.83948,0.9536,0.97859,0.98968,0.76788,0.04473,0.08688,0.34091,0.64649,0.0005644,0.0005644,0.0005644
46,38487,0.05131,0.09803,0.44928,0.70041,0.96299,0.97115,0.98706,0.84422,0.96299,0.97115,0.98687,0.7696,0.04484,0.08689,0.34054,0.64544,0.0005545,0.0005545,0.0005545
47,39585.2,0.05111,0.09768,0.44621,0.69632,0.96694,0.96911,0.98919,0.84262,0.96694,0.96911,0.98919,0.77626,0.04535,0.08561,0.33703,0.64815,0.0005446,0.0005446,0.0005446
48,40590,0.05091,0.09761,0.43827,0.6915,0.94094,0.98842,0.98636,0.84823,0.94094,0.98842,0.98636,0.77775,0.04468,0.08412,0.33429,0.64436,0.0005347,0.0005347,0.0005347
49,41591.3,0.0518,0.09824,0.45085,0.69257,0.94851,0.97201,0.98893,0.84154,0.94851,0.97201,0.98893,0.77171,0.04505,0.08535,0.35291,0.64682,0.0005248,0.0005248,0.0005248
50,42568.8,0.05105,0.09749,0.44034,0.69621,0.95692,0.97204,0.99061,0.84463,0.95692,0.97204,0.99061,0.7755,0.04461,0.08545,0.33806,0.64554,0.0005149,0.0005149,0.0005149
51,43565.3,0.05091,0.09759,0.43741,0.69446,0.96877,0.96782,0.98929,0.84779,0.96877,0.96782,0.98929,0.77103,0.04491,0.08664,0.33032,0.64764,0.000505,0.000505,0.000505
52,44557.6,0.05047,0.09714,0.4368,0.69321,0.96105,0.9843,0.98983,0.846,0.96105,0.9843,0.98983,0.7768,0.04519,0.08523,0.32716,0.649,0.0004951,0.0004951,0.0004951
53,45523.3,0.05046,0.09713,0.4364,0.69049,0.97682,0.97603,0.99181,0.84844,0.97682,0.97603,0.99181,0.77479,0.04421,0.08535,0.32654,0.6443,0.0004852,0.0004852,0.0004852
54,46525.1,0.05034,0.09697,0.42895,0.68905,0.96336,0.97812,0.99068,0.84848,0.96336,0.97812,0.99068,0.77688,0.04436,0.08448,0.31759,0.6418,0.0004753,0.0004753,0.0004753
55,47522.7,0.0503,0.09665,0.43006,0.68754,0.95205,0.98069,0.991,0.84594,0.95205,0.98069,0.991,0.77866,0.04449,0.08432,0.33036,0.64219,0.0004654,0.0004654,0.0004654
56,48511.9,0.05036,0.09642,0.4317,0.68929,0.97255,0.96782,0.99076,0.84755,0.97255,0.96782,0.99076,0.77795,0.04433,0.08405,0.3201,0.64111,0.0004555,0.0004555,0.0004555
57,49486.3,0.05015,0.09575,0.42784,0.68999,0.96211,0.98051,0.99126,0.84841,0.96211,0.98051,0.99126,0.77385,0.04426,0.08398,0.31775,0.64187,0.0004456,0.0004456,0.0004456
58,50469.2,0.05028,0.09526,0.42292,0.69457,0.96816,0.97819,0.99091,0.85352,0.96816,0.97819,0.99091,0.78143,0.0439,0.08298,0.31169,0.63911,0.0004357,0.0004357,0.0004357
59,51457,0.05007,0.09533,0.41741,0.68659,0.95642,0.98867,0.99,0.85383,0.95642,0.98867,0.99,0.7769,0.04387,0.08334,0.31395,0.63959,0.0004258,0.0004258,0.0004258
60,52441.6,0.05062,0.0963,0.42574,0.69144,0.96132,0.98456,0.99177,0.85208,0.96132,0.98456,0.99177,0.78056,0.04402,0.08339,0.3089,0.63901,0.0004159,0.0004159,0.0004159
61,53433.9,0.04997,0.096,0.41795,0.68506,0.95803,0.9897,0.99201,0.85168,0.95803,0.9897,0.99201,0.78427,0.04396,0.08331,0.30889,0.63954,0.000406,0.000406,0.000406
62,54432.1,0.05003,0.09508,0.41447,0.68298,0.97178,0.97502,0.99174,0.8468,0.97178,0.97502,0.99174,0.78207,0.04442,0.08365,0.31843,0.64421,0.0003961,0.0003961,0.0003961
63,55436.8,0.05033,0.09616,0.4212,0.68739,0.96836,0.98466,0.99116,0.85105,0.96836,0.98466,0.99116,0.78197,0.04385,0.08326,0.31195,0.63634,0.0003862,0.0003862,0.0003862
64,56420.9,0.05018,0.09581,0.41803,0.69007,0.96754,0.9897,0.9925,0.85398,0.96754,0.9897,0.9925,0.78363,0.04456,0.08351,0.31041,0.64888,0.0003763,0.0003763,0.0003763
65,57403.5,0.0499,0.09602,0.41525,0.68941,0.96955,0.98351,0.99034,0.85452,0.96955,0.98351,0.99034,0.77876,0.04337,0.08315,0.3102,0.63541,0.0003664,0.0003664,0.0003664
66,58382.2,0.04978,0.09512,0.4082,0.68773,0.97563,0.97906,0.99226,0.85341,0.97563,0.97906,0.99226,0.78507,0.04357,0.08328,0.3067,0.6419,0.0003565,0.0003565,0.0003565
67,59365.2,0.04964,0.09633,0.41554,0.68822,0.97716,0.98713,0.99323,0.85722,0.97843,0.98842,0.9939,0.78544,0.04355,0.08285,0.28964,0.6429,0.0003466,0.0003466,0.0003466
68,60328,0.04877,0.09444,0.40614,0.68302,0.9707,0.98713,0.99361,0.8559,0.9707,0.98713,0.99361,0.78882,0.04417,0.08274,0.29194,0.64278,0.0003367,0.0003367,0.0003367
69,61319.9,0.0492,0.09445,0.40123,0.68286,0.9698,0.99194,0.99332,0.85817,0.97109,0.99432,0.99332,0.78838,0.04374,0.0828,0.29406,0.64279,0.0003268,0.0003268,0.0003268
70,62279,0.04906,0.09445,0.40305,0.68643,0.97472,0.97812,0.99281,0.85669,0.96512,0.99099,0.99291,0.78668,0.04335,0.08208,0.2933,0.63596,0.0003169,0.0003169,0.0003169
71,63241.5,0.04843,0.09352,0.3997,0.68285,0.97583,0.98584,0.99271,0.85817,0.97583,0.98584,0.99271,0.78804,0.04355,0.08204,0.29336,0.64027,0.000307,0.000307,0.000307
72,64222.9,0.04886,0.09364,0.39352,0.68274,0.98353,0.98327,0.99258,0.85939,0.98353,0.98327,0.99258,0.78714,0.04267,0.08187,0.2877,0.63333,0.0002971,0.0002971,0.0002971
73,65194.7,0.04919,0.09447,0.39515,0.67892,0.9735,0.99305,0.99233,0.85324,0.9735,0.99305,0.99233,0.78305,0.04327,0.08127,0.28647,0.63567,0.0002872,0.0002872,0.0002872
74,66184.5,0.04879,0.09422,0.39848,0.68283,0.96358,0.98757,0.99284,0.8598,0.96358,0.98757,0.99284,0.78658,0.0434,0.08148,0.29521,0.63568,0.0002773,0.0002773,0.0002773
75,67114.8,0.04879,0.09448,0.39136,0.68216,0.97349,0.99244,0.99192,0.86341,0.97349,0.99244,0.99192,0.79306,0.04261,0.08163,0.28445,0.6307,0.0002674,0.0002674,0.0002674
76,67874.1,0.04843,0.09456,0.39168,0.68174,0.97746,0.98584,0.99259,0.85765,0.97746,0.98584,0.99259,0.79119,0.04337,0.08103,0.2832,0.63394,0.0002575,0.0002575,0.0002575
